"English Term","Arabic Term","Arabic Definition"
"Voting Behavior","السلوك الانتخابي","وهو عملية التصو يت والاتجاهات المختلفة أثنائها، وهو وسيلة لتقرير الاتفاق العام والحفاظ عليه في المجتمعات الديمقراطية."
"Voting Research","أبحاث الانتخابات والتصويت","ويقصد بها اكتشاف متغيرات التأثير أو المعارضة المتعلقة بالموقف الانتخابي داخل مجتمع معين، ويقصد بها التأثير على المواطنين لدفعهم للمشاركة السياسية ولو من خلال استخدام حق التصويت في الانتخابات."
"Wall Street","وول استريت","هو شارع المال في الولايات المتحدة الأمريكية وبه البورصة الأمريكية والبنوك العملاقة."
"War","الحرب","وهي حالة قيام صراع أو صدام عسكري بين قوتين أو دولتين أو جماعتين باستخدام أي نوع من أنواع الأسلحة سواء أكانت تقليدية أم متطورة أو نووية، وهناك عبارة شهيرة تقول عن العلاقة الكلاسيكية بين الغايات السياسية والوسائل العسكرية: War Is The Continuation Of Politics By Other Means ، أي أن القوة تستخدم بصورة عقلانية كوسيلة محدودة لتحقيق أهداف السياسة الخارجية للدولة، وهناك عبارة شهيرة في جميع الحروب التي تمت في العالم بأن هذه الحرب ستكون خاتمة لجميع الحروب A War To End All Wars ولا يحدث ذلك أبدا ً لأن أى حروب تخلف من ورائها حروب أخرى، وهناك حروبا ً تدعي أنها من أجل الديمقراطية أو للد فاع عن الديمقراطية A War For Democracy وهي حجة أو قناع أيدلوجي للقيام بالحرب يخفي حقيقة أسباب الحرب."
"War Crimes","جرائم الحرب","وهي تعنى محاكمة بعض قادة الأعداء عقب انهزامهم في الحروب لقيامهم بالتجاوز أثناء الحرب، من قتل وتمثيل بالأسري وعدم احترام آدمية المحارب، وبدأت هذه العملية رسميا ً عقب الحرب العالمية الأولى عندما وجه الحلفاء اتهامات لبعض قادة امبراطوريات الوسط وعسكرها بانتهاك قوانين الحرب وحاكمتهم في محكمة نورمبرج ومحكمة طوكيو بعد الحرب العالمية الثانية التي حاكمت كبار القادة النازيين واليابانيين والفاشيست، وقنن العالم اليوم معاهدةا من عام دولية لمحاكمة مجرمي الحرب بدء ٢٠٠١ م."
"WARSOWN Part","حلف وارسو","هو حلف أطلق عليه حلف كارسوفيا أبرم عام ١٩٥٥ م بين دول الكتلة الشرقية) الشيوعية (وأطلق عليه معاهدة تبادل المساعدات بين دول شرق أوروبا، ووقعت معاهدة الحلف في هولندا، ويقصد منع هج وم الغرب على الدول الشرقية والدفاع عنها، وانحل الحزب في أواخر الثمانينات من القرن الماضي، وأصبح أغلب أعضاؤه أعضاء الآن في حلف الناتو."
"Washington D.C","واشنطن دي سي","هي عاصمة الولايات المتحدة وسميت واشنطن على اسم الزعيم جورج واشنطن الذي انتخب كأول رئ يس للولايات المتحدة في عام ١٧٨٩ م، وتتميز بأنها خططت منذ بداية انشائها لتكون عاصمة للبلاد، وتقع في دائرة ولاية كولومبيا District Of Columbia وأضيفت للأسم سي دي للتفرقة بينها وبين ولاية واشنطن، والعاصمة تقع في شرق البلاد جنوب نيويورك."
"Westercen","الغرب سياسيا ً","الغرب مصطلح منتشر في عصر العولمة، ويعني به اتجاه الفكر والتسلط الغربي على الشرق وعلى العالم، والسيطرة فكرية وصناعية واجتماعية وسياسية، بل ودينية أيضا ً، فهي نشر النموذج الغربي في الحياة السياسية والاجتماعية على العالم أجمع."
"Westercentrism","التمركز الحضاري الغربي حول الذات","وهو يعني الغربنة أي الدفاع عن حق الغرب في حماية انتاجهم الفكري والتقني وعدم استخدامه في العالم إلا في أضيق الحدود، وهذا التمركز يكون من خلال بعدين: انتهازية الغرب لخدمة مصالحهم وإبقاء هيمنة الغرب على مجتمعات العالم الثالث، واستخدام أدوات ومناهج البحث الشائعة في العلوم الاجتماعية الغربية والاصرار على تعميم هذه المناهج في دول العالم الثالث."
"Westercentrism","الغربنة","أنظر: التمركز الحضاري الغربي حول الذات والغربنة هي اتخاذ الأسلوب الغربي في المعيشة والحياة والنظ م والاقتصاد والسياسة والحكم لشعوب غير غربية في العالم، أي نشر المفاهيم الغربية) الرأسمالية والديمقراطية (في مختلف بقاع العالم"
"Western Sahara","الصحراء الغربية","هي منطقة متنازع عليها بين جبهة البوليساريو التي أعلنت من جانب واحد إقامة دولة عليها أسمتها الجمهورية الديمقراطية العربية الصحراوية المستقلة) در ص SADR (، وبين المغرب التي تدير شئون البلاد، وتجري الأمم المتحدة محاولات لإقامة استفتاء تقرير مصير يختار الشعب الصحراوي من خلاله الاستقلال أو الاستمرار كجزء من المغرب."
"Westernization","التغريب","هو مصطلح يقصد به استخدام ونقل أو تقليد الأسلوب الغربي) أوربا الغربية (في بعض أو كل المجالات من حيث الشكل أو المضمون، وسيادة النموذج الثقافي الغربي على ما ع داه من نماذج ثقافية معاصرة، ويلاحظ أن خصائص التغريب أو الفرنجة هي: التحضر والتعليم والمشاركة في وسائل الاتصال والمشاركة السياسية."
